1786676004.530014,s2-eth3,195.41,195.41,390.83,196,196,1.99,1.99,3.99,2,2,0.00,0.00,0,0
1786676004.530084,s5-eth3,195.41,195.41,390.83,196,196,1.99,1.99,3.99,2,2,0.00,0.00,0,0
1786676004.530236,total,586.24,586.24,1172.48,588,588,5.98,5.98,11.96,6,6,0.00,0.00,0,0
1786676005.537663,s1-eth1,194.64,194.64,389.28,196,196,1.99,1.99,3.97,2,2,0.00,0.00,0,0
1786676005.538511,s2-eth3,291.67,194.44,486.11,196,294,2.98,1.98,4.96,2,3,0.00,0.00,0,0
1786676005.538623,s5-eth3,194.44,194.44,388.89,196,196,1.98,1.98,3.97,2,2,0.00,0.00,0,0
1786676005.538744,total,680.56,583.33,1263.89,588,686,6.94,5.95,12.90,6,7,0.00,0.00,0,0
1786676006.554751,s1-eth1,192.72,289.09,481.81,294,196,1.97,2.95,4.92,3,2,0.00,0.00,0,0
1786676006.555702,s2-eth3,96.36,192.72,289.09,196,98,0.98,1.97,2.95,2,1,0.00,0.00,0,0
1786676006.555857,s5-eth3,192.72,192.72,385.45,196,196,1.97,1.97,3.93,2,2,0.00,0.00,0,0
1786676006.555922,total,481.81,674.53,1156.34,686,490,4.92,6.88,11.80,7,5,0.00,0.00,0,0
1786676007.567510,s1-eth1,193.68,193.68,387.35,196,196,1.98,1.98,3.95,2,2,0.00,0.00,0,0
1786676007.567818,s2-eth3,290.51,193.68,484.19,196,294,2.96,1.98,4.94,2,3,0.00,0.00,0,0
1786676007.567935,s5-eth3,193.68,193.68,387.35,196,196,1.98,1.98,3.95,2,2,0.00,0.00,0,0
1786676007.568064,total,677.87,581.03,1258.89,588,686,6.92,5.93,12.85,6,7,0.00,0.00,0,0
1786676008.579764,s1-eth1,193.68,193.68,387.35,196,196,1.98,1.98,3.95,2,2,0.00,0.00,0,0
1786676008.579918,s2-eth3,193.68,193.68,387.35,196,196,1.98,1.98,3.95,2,2,0.00,0.00,0,0
1786676008.580038,s5-eth3,193.68,193.68,387.35,196,196,1.98,1.98,3.95,2,2,0.00,0.00,0,0
1786676008.580098,total,581.03,581.03,1162.06,588,588,5.93,5.93,11.86,6,6,0.00,0.00,0,0
1786676009.585591,s1-eth1,195.02,195.02,390.05,196,196,1.99,1.99,3.98,2,2,0.00,0.00,0,0
1786676009.585885,s2-eth3,97.51,195.02,292.54,196,98,1.00,1.99,2.99,2,1,0.00,0.00,0,0
1786676009.585937,s5-eth3,236.82,195.02,431.84,196,238,2.99,1.99,4.98,2,3,0.00,0.00,0,0
1786676009.586085,total,529.35,585.07,1114.43,588,532,5.97,5.97,11.94,6,6,0.00,0.00,0,0
1786676010.588458,s1-eth1,237.52,195.61,433.13,196,238,2.99,2.00,4.99,2,3,0.00,0.00,0,0
1786676010.589372,s2-eth3,237.29,195.41,432.70,196,238,2.99,1.99,4.99,2,3,0.00,0.00,0,0
1786676010.589547,s5-eth3,195.41,237.29,432.70,238,196,1.99,2.99,4.99,3,2,0.00,0.00,0,0
1786676010.589665,total,669.99,628.12,1298.11,630,672,7.98,6.98,14.96,7,8,0.00,0.00,0,0
1786676011.596449,s1-eth1,194.64,236.35,430.98,238,196,1.99,2.98,4.97,3,2,0.00,0.00,0,0
1786676011.596590,s2-eth3,291.96,236.35,528.30,238,294,2.98,2.98,5.96,3,3,0.00,0.00,0,0
1786676011.596720,s5-eth3,236.35,236.35,472.69,238,238,2.98,2.98,5.96,3,3,0.00,0.00,0,0
1786676011.596849,total,722.94,709.04,1431.98,714,728,7.94,8.94,16.88,9,8,0.00,0.00,0,0
1786676012.599766,s1-eth1,195.41,97.71,293.12,98,196,1.99,1.00,2.99,1,2,0.00,0.00,0,0
1786676012.599895,s2-eth3,97.71,195.41,293.12,196,98,1.00,1.99,2.99,2,1,0.00,0.00,0,0
1786676012.599941,s5-eth3,195.41,195.41,390.83,196,196,1.99,1.99,3.99,2,2,0.00,0.00,0,0
1786676012.600115,total,488.53,488.53,977.07,490,490,4.99,4.99,9.97,5,5,0.00,0.00,0,0
1786676013.602701,s1-eth1,195.61,97.80,293.41,98,196,2.00,1.00,2.99,1,2,0.00,0.00,0,0
1786676013.603039,s2-eth3,195.41,195.41,390.83,196,196,1.99,1.99,3.99,2,2,0.00,0.00,0,0
1786676013.603079,s5-eth3,195.41,195.41,390.83,196,196,1.99,1.99,3.99,2,2,0.00,0.00,0,0
1786676013.603153,total,586.24,488.53,1074.78,490,588,5.98,4.99,10.97,5,6,0.00,0.00,0,0
1786676014.610774,s1-eth1,194.44,388.89,583.33,392,196,1.98,3.97,5.95,4,2,0.00,0.00,0,0
1786676014.611866,s2-eth3,194.44,194.44,388.89,196,196,1.98,1.98,3.97,2,2,0.00,0.00,0,0
1786676014.611944,s5-eth3,194.44,194.44,388.89,196,196,1.98,1.98,3.97,2,2,0.00,0.00,0,0
1786676014.612075,total,583.33,777.78,1361.11,784,588,5.95,7.94,13.89,8,6,0.00,0.00,0,0
1786676015.617987,s1-eth1,194.64,97.32,291.96,98,196,1.99,0.99,2.98,1,2,0.00,0.00,0,0
1786676015.618696,s2-eth3,194.83,194.83,389.66,196,196,1.99,1.99,3.98,2,2,0.00,0.00,0,0
1786676015.618771,s5-eth3,194.83,194.83,389.66,196,196,1.99,1.99,3.98,2,2,0.00,0.00,0,0
1786676015.618818,total,584.49,487.08,1071.57,490,588,5.96,4.97,10.93,5,6,0.00,0.00,0,0
1786676016.626961,s1-eth1,194.44,291.67,486.11,294,196,1.98,2.98,4.96,3,2,0.00,0.00,0,0
